char;code;mass;center_x;center_y;ix;iy;mass_rel;center_x_rel;center_y_rel;ix_rel;iy_rel
י;1497;91;24.36263736263736;38.956043956043956;3.242120516845792;24.239826107957978;0.0263768115942029;0.48725274725274725;0.5645803471890428;0.005187392826953267;0.020365323342119705
ק;1511;311;30.54662379421222;43.68167202572347;34.89091303853352;91.08516247764186;0.06411049268192125;0.48486704435257494;0.5672944418925127;0.03516342961807359;0.06145060716993885
ד;1491;210;31.204761904761906;38.7;21.324739229024942;52.943333333333335;0.04830917874396135;0.49531368102796675;0.5608695652173914;0.02149129677906268;0.044480851361758736
ו;1493;119;24.823529411764707;42.39495798319328;2.7839841819080564;54.05409222512534;0.034492753623188405;0.4964705882352941;0.6144196809158446;0.00445437469105289;0.045414066141672205
ב;1489;287;30.749128919860627;44.80487804878049;24.431837220313465;91.13962777258436;0.0681872178664766;0.5040840806534529;0.6493460586779781;0.026263732566851345;0.07657183597780665
צ;1510;315;30.479365079365078;45.647619047619045;25.57655832703452;70.63455782312926;0.07377049180327869;0.49966172261254227;0.6521088435374149;0.027494284683724286;0.05766086352908511
ץ;1509;263;28.79087452471483;43.638783269961976;24.27946045193656;77.64518787318016;0.05527532576712905;0.47198154958548905;0.5594715803841279;0.026099930612132827;0.05104877572201194
ז;1494;153;24.81045751633987;41.69281045751634;5.003289333162459;62.25203981374684;0.04123989218328841;0.4681218399309409;0.5956115779645191;0.007124655511801295;0.0508179916846913
ש;1513;362;31.7707182320442;44.95580110497237;43.21538567198804;61.51185861237448;0.07949055775142731;0.4813745186673364;0.6515333493474257;0.03968354974470894;0.05167978039266917
ך;1498;217;31.6036866359447;42.70967741935484;18.93049332115781;104.47331648580348;0.04776579352850539;0.535655705693978;0.5546711353162966;0.021752936881537274;0.07048292561025703
ט;1496;285;30.428070175438595;44.91228070175438;34.974650661742075;65.56072637734687;0.06556245686680469;0.4829852408799777;0.6509026188660055;0.035247821276636004;0.05508147563734246
ג;1490;184;27.592391304347824;45.14673913043478;9.382768194706994;69.50564154064271;0.048484848484848485;0.5016798418972331;0.6543005671077504;0.012406966207877016;0.05839583410261938
ן;1503;172;24.6453488372093;47.151162790697676;2.4381760411032998;93.73296376419687;0.044675324675324674;0.49290697674418604;0.6123527635155542;0.0039010816657652795;0.0632369463749009
ר;1512;183;31.043715846994534;39.52459016393443;20.183881274448325;55.047209531487944;0.0449521002210759;0.5261646753727887;0.5728201473033975;0.02319319882154361;0.0462484432106599
ח;1495;278;30.320143884892087;41.08273381294964;36.210457533253965;55.097471662957396;0.06498363721365123;0.48903457878858203;0.5954019393181107;0.03767997662149216;0.04629067142445486
נ;1504;170;26.16470588235294;45.55882352941177;5.419930795847751;73.59948096885815;0.046486190866830736;0.4936736958934517;0.6602728047740836;0.007717950581484872;0.06183531272325826
ס;1505;330;30.439393939393938;43.842424242424244;29.99784205693297;71.63577594123049;0.07713884992987377;0.49095796676441833;0.6353974527887571;0.031215236271522343;0.060185487033169914
מ;1502;314;30.6656050955414;43.802547770700635;31.03786157653455;70.68712726682622;0.07223372440763745;0.48675563643716513;0.6348195329087049;0.031280283775796974;0.059388470713569605
ל;1500;256;28.62890625;39.8359375;22.030258178710938;88.00433349609375;0.054923836086676676;0.4852356991525424;0.5042523734177216;0.02531486145212403;0.05640399519057443
כ;1499;241;29.688796680497926;43.684647302904565;20.247550834179854;81.01258587145539;0.05919921395234586;0.503199943737253;0.6331108304768778;0.023266361199861942;0.0680635041978201
ה;1492;244;30.459016393442624;41.10655737704918;33.24012362268208;63.02962913195377;0.057971014492753624;0.49932813759742006;0.5957472083630315;0.03573246291070366;0.052954949911324316
ת;1514;334;31.419161676646706;43.00299401197605;40.27340528523791;71.18262576643123;0.07447045707915273;0.483371718102257;0.6232317972750152;0.03812866772566902;0.0598047685498267
ף;1507;262;30.782442748091604;42.652671755725194;27.04808868947031;83.95188217469845;0.05670995670995671;0.5130407124681934;0.5539308020224051;0.030053431877189233;0.05663813943309054
ם;1501;373;30.844504021447722;44.32707774798928;33.80960116151198;77.85548663470591;0.08719027582982702;0.497492000345931;0.6424214166375257;0.03518168695266595;0.0654110368701583
פ;1508;321;30.09968847352025;43.85358255451713;28.407507691113246;74.11874884754612;0.07503506311360449;0.4854788463471008;0.63555916745677;0.02956036180136654;0.06227158063225886
ע;1506;246;29.08130081300813;44.922764227642276;24.399894242844866;57.31517284685043;0.059420289855072465;0.48468834688346885;0.6510545540238011;0.027110993603160962;0.04815389443129631
א;1488;325;31.255384615384614;44.21846153846154;41.23016331360947;56.95842840236687;0.07254464285714286;0.4883653846153846;0.6316923076923077;0.040263831360946745;0.0464966762468301
